PNR	0.95%	6.38%	5.57%	5.37%	19.10%
GD	2.02%	5.63%	5.98%	6.40%	35.83%
AOS	1.99%	4.62%	6.06%	6.77%	32.46%
TGT	4.47%	1.80%	4.51%	11.02%	56.80%
TRV	1.72%	4.82%	5.83%	5.24%	17.96%
MTN	5.39%	0.00%	5.14%	38.22%	114.11%
MKC	2.47%	5.26%	6.27%	7.22%	54.34%
CNS	3.22%	5.08%	4.07%	9.71%	72.09%
ERIE	1.60%	5.20%	6.50%	6.80%	39.67%
MCD	2.43%	4.42%	7.75%	7.03%	53.40%
HSY	3.22%	0.00%	12.26%	11.68%	86.81%
RTX	1.88%	7.66%	7.32%	4.33%	40.53%
JNJ	3.34%	4.68%	4.92%	5.25%	46.80%
BBY	5.26%	1.06%	2.58%	11.55%	57.07%
F	5.14%	0.00%	14.47%	0%	45.05%
FCF	3.16%	3.88%	4.04%	3.99%	32.86%
HFWA	3.76%	4.35%	4.55%	3.71%	42.45%
NSP	3.91%	1.27%	6.09%	8.45%	65.01%
ZION	3.10%	3.61%	2.87%	4.81%	30.96%
SBUX	2.57%	5.17%	6.85%	7.75%	83.23%
COLB	5.73%	0.00%	6.27%	5.15%	47.47%
LMT	2.85%	3.53%	5.01%	6.14%	43.96%
HD	2.50%	2.22%	6.58%	8.92%	56.45%
AMT	3.08%	4.94%	5.08%	8.46%	94.74%
SWKS	3.59%	1.45%	5.86%	8.29%	65.93%
SNV	2.84%	2.63%	4.68%	3.40%	28.65%
VLO	3.04%	5.61%	4.86%	2.89%	45.25%
HUN	8.87%	0.00%	5.57%	9.00%	535.86%
GPC	3.25%	3.00%	4.79%	5.45%	48.10%
LYB	8.60%	3.42%	5.06%	5.35%	100.31%
BKE	2.97%	0.00%	0.00%	18.47%	37.31%
CPF	3.67%	3.85%	1.27%	3.26%	34.29%
BANR	2.81%	0.00%	2.94%	9.31%	33.10%
UPS	6.41%	0.61%	2.57%	10.18%	83.67%
STBA	3.42%	2.26%	4.26%	3.96%	40.30%
PG	2.68%	5.00%	4.98%	5.97%	60.35%
IPG	5.21%	0.00%	4.40%	5.29%	46.74%
TROW	5.09%	2.42%	1.91%	7.13%	58.89%
KO	2.90%	5.15%	5.04%	4.46%	63.73%
C	2.62%	2.75%	3.17%	1.89%	23.71%
ITW	2.33%	3.45%	5.84%	6.30%	54.45%
PPG	2.32%	2.26%	3.97%	5.31%	31.73%
FLO	6.28%	3.42%	4.14%	4.46%	87.28%
CRI	3.11%	-51.56%	-19.76%	20.90%	37.90%
NUE	1.57%	1.38%	3.06%	6.41%	20.60%
SYY	2.82%	4.93%	3.16%	3.42%	46.35%
O	5.61%	15.45%	-0.22%	1.04%	212.57%
PFE	6.71%	2.38%	2.44%	2.50%	55.68%
WHR	6.50%	0.00%	0.00%	7.61%	63.63%
OKE	5.05%	4.04%	3.28%	1.95%	66.45%
GIS	4.71%	1.67%	4.49%	3.97%	64.05%
XOM	3.47%	3.13%	3.71%	2.62%	51.07%
SJM	4.18%	0.93%	2.43%	3.95%	43.46%
USB	4.20%	1.01%	2.08%	3.55%	41.81%
LHX	1.87%	3.45%	2.33%	7.14%	39.32%
MO	6.85%	2.00%	3.50%	3.71%	73.57%
CHD	1.20%	3.96%	3.97%	4.21%	31.64%
PFC	4.42%	0.00%	1.10%	7.10%	51.24%
NNN	5.37%	0.69%	2.14%	7.09%	112.84%
BLK	1.94%	2.16%	2.21%	7.49%	40.22%
FMC	5.36%	0.00%	2.25%	5.21%	57.72%
JHG	3.98%	1.92%	0.85%	2.00%	42.68%
DPZ	1.38%	0.00%	11.14%	14.12%	N/A
HRL	3.73%	1.98%	3.21%	4.24%	64.52%
MDT	3.21%	1.43%	1.96%	4.42%	47.44%
TXN	2.51%	2.26%	4.41%	7.21%	81.77%
CL	2.26%	4.00%	3.43%	3.40%	52.83%
CSCO	2.39%	2.50%	2.57%	2.64%	40.81%
ED	3.42%	2.41%	2.47%	2.13%	56.54%
AMCR	5.19%	1.49%	1.86%	1.97%	61.65%
PKG	2.47%	0.00%	1.72%	8.21%	45.14%
WU	10.83%	0.00%	0.00%	0.87%	51.01%
CHRW	2.52%	0.81%	3.14%	3.98%	45.08%
SWK	4.58%	0.61%	1.04%	3.36%	56.48%
KEY	4.44%	0.00%	1.25%	2.07%	47.36%
CATY	2.86%	0.00%	0.00%	1.86%	27.77%
CMA	4.50%	0.00%	1.45%	0.87%	49.97%
MSM	3.75%	1.19%	3.35%	2.53%	83.18%
KMB	3.51%	3.28%	2.79%	3.32%	N/A
HBAN	3.55%	0.00%	0.00%	0.66%	38.78%
DUK	3.59%	0.97%	1.65%	1.82%	62.21%
CLX	3.87%	0.41%	1.26%	2.14%	72.85%
DOV	1.09%	0.49%	0.82%	0.90%	20.10%
BOH	3.98%	0.00%	0.00%	0.88%	54.74%
VFC	2.89%	0.00%	-43.63%	-28.53%	33.17%
EMR	1.52%	0.36%	0.72%	1.03%	32.46%
APAM	5.83%	-7.06%	-3.87%	-1.24%	76.30%
K	2.87%	0.88%	-0.86%	0.00%	58.02%
LEG	2.02%	-67.21%	-51.38%	-34.02%	16.33%
NDSN	1.41%	-46.58%	-12.39%	0.26%	28.46%
XEL	3.37%	-47.95%	-16.38%	-7.90%	55.18%
CAH	1.24%	-49.62%	-19.90%	-12.12%	22.12%
CBRL	1.51%	-51.22%	-42.28%	-5.11%	30.20%
VZ	1.92%	-19.11%	-21.17%	-13.06%	34.81%
RSG	0.97%	-47.98%	-15.31%	-6.92%	30.37%
MMM	1.90%	-19.11%	-21.17%	-13.06%	34.81%
FRT	4.67%	-49.77%	-20.02%	-9.64%	137.54%
ALB	2.31%	0.62%	0.84%	1.02%	283.30%
APD	2.45%	-49.44%	-17.95%	-7.75%	54.88%
ESS	3.59%	-47.31%	-16.41%	-9.16%	168.48%
